,access_code,access_days_time,access_detail_code,cards_accepted,date_last_confirmed,expected_date,fuel_type_code,groups_with_access_code,id,maximum_vehicle_class,open_date,owner_type_code,restricted_access,status_code,facility_type,station_name,station_phone,updated_at,geocode_status,latitude,longitude,city,country,intersection_directions,plus4,state,street_address,zip,bd_blends,cng_dispenser_num,cng_fill_type_code,cng_has_rng,cng_psi,cng_renewable_source,cng_total_compression,cng_total_storage,cng_vehicle_class,e85_blender_pump,e85_other_ethanol_blends,ev_connector_types,ev_dc_fast_num,ev_level1_evse_num,ev_level2_evse_num,ev_network,ev_network_web,ev_other_evse,ev_pricing,ev_renewable_source,ev_workplace_charging,hy_is_retail,hy_pressures,hy_standards,hy_status_link,lng_has_rng,lng_renewable_source,lng_vehicle_class,lpg_nozzle_types,lpg_primary,ng_fill_type_code,ng_psi,ng_vehicle_class,rd_blended_with_biodiesel,rd_blends,rd_blends_fr,rd_max_biodiesel_level,nps_unit_name,access_days_time_fr,intersection_directions_fr,bd_blends_fr,groups_with_access_code_fr,ev_pricing_fr,distance,distance_km,ev_network_ids,federal_agency
216,public,24 hours daily,,,2024-04-09,,ELEC,Public,169851,,2020-12-03,,,E,,Imperial Parking,888-998-2546,2024-04-09T01:11:28Z,GPS,40.7440113,-73.9741155,New York,US,Attendant will assist in charging ||vehicle.  Parking rates apply. Inquire ||within.||,,NY,332-342 E 34th St,10016,,,,,,,,,,,,['J1772'],,,2.0,Blink Network,http://www.blinkcharging.com/,,Free,,False,,,,,,,,,,,,,,,,,,,,,Public,,2.73794,4.40629,"{'station': ['465ba1dd-d734-8158-93cc-330000534041'], 'posts': ['465ba1dd-d734-8158-93cc-330000705783', '465ba1dd-d734-8158-93cc-330000749017']}",
217,public,24 hours daily,,,2024-04-09,,ELEC,Public,192718,,2021-07-10,,,E,,DT&P GARAGE D ST2,888-758-4389,2024-04-09T04:41:54Z,GPS,40.739123,-74.028827,Hoboken,US,,,NJ,215 Hudson St,07030,,,,,,,,,,,,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,,,False,,,,,,,,,,,,,,,,,,,,,Public,,2.18722,3.51999,"{'station': ['USCPIL7757231'], 'posts': ['13445161', '13445171']}",
218,public,24 hours daily,,,2024-04-09,,ELEC,Public,213916,,2022-04-13,,,E,,Eventi Hotel,888-998-2546,2024-04-09T01:28:40Z,GPS,40.758681,-73.98135,New York,US,,,NY,851 Avenue of the Americas,10001,,,,,,,,,,,,['J1772'],,,1.0,Blink Network,http://www.blinkcharging.com/,,Free,,False,,,,,,,,,,,,,,,,,,,,,Public,,3.44595,5.54572,"{'station': ['465ba1dd-d734-8158-93cc-330000703407'], 'posts': ['423e19fb-190a-4139-b3b9-4c656a06ea59']}",
219,public,,,,2022-10-06,,ELEC,Public,168757,,2016-12-09,P,,E,,Enterprise Parking 219 E 69th St - Tesla Destination,212)-564-3199  877-798-3752,2023-01-18T15:15:20Z,200-9,40.767342,-73.960835,New York,US,,,NY,219 E 69th St,10065,,,,,,,,,,,,"['J1772', 'TESLA']",,,3.0,Tesla Destination,https://www.tesla.com/destination-charging,,Free,,False,,,,,,,,,,,,,,,,,,,,,Public,,4.46912,7.19235,{'station': ['504233']},
220,public,,,,2022-10-06,,ELEC,Public,115083,,2016-04-30,P,,E,PAY_GARAGE,Icon Parking 300 E 59th Street - Tesla Destination,212-980-0215  877-798-3752,2023-01-18T15:15:20Z,200-8,40.760462,-73.964086,New York,US,,,NY,300 E 59th St,10022,,,,,,,,,,,,"['J1772', 'TESLA']",,,3.0,Tesla Destination,https://www.tesla.com/destination-charging,,Free,,False,,,,,,,,,,,,,,,,,,,,,Public,,3.97448,6.39631,{'station': ['501387']},
221,public,,,,2022-10-06,,ELEC,Public,115176,,2017-06-13,P,,E,PAY_GARAGE,MTP 625 W 57th Street - Tesla Destination,212-247-0700  877-798-3752,2023-01-18T15:15:20Z,200-9,40.77108,-73.993142,New York,US,,,NY,625 W 57th St,10019,,,,,,,,,,,,['TESLA'],,,3.0,Tesla Destination,https://www.tesla.com/destination-charging,,Free,,False,,,,,,,,,,,,,,,,,,,,,Public,,4.11567,6.62353,{'station': ['506781']},
222,public,24 hours daily,,,2024-04-09,,ELEC,Public,237503,,2022-12-08,,,E,,DT&P 1ST & WASH PS1,888-758-4389,2024-04-09T04:55:13Z,GPS,40.737427,-74.03049,Hoboken,US,,,NJ,68 1st St,07030,,,,,,,,,,,,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,,,False,,,,,,,,,,,,,,,,,,,,,Public,,2.13948,3.44316,"{'station': ['USCPIL9805931'], 'posts': ['22618761', '22618771']}",
223,public,,,,2022-10-06,,ELEC,Public,114996,,2018-05-24,P,,E,PAY_GARAGE,Rapidpark 99 Park Ave - Tesla Destination,212-265-7854  877-798-3752,2023-01-18T15:15:20Z,200-8,40.750013,-73.978525,New York,US,,,NY,105 E 39th,10016,,,,,,,,,,,,"['J1772', 'TESLA']",,,3.0,Tesla Destination,https://www.tesla.com/destination-charging,,Free,,False,,,,,,,,,,,,,,,,,,,,,Public,,2.96306,4.76858,{'station': ['511163']},
224,public,,,,2022-10-06,,ELEC,Public,114915,,2016-03-11,P,,E,PAY_GARAGE,Quik Park 81 Fleet Place LLC - Tesla Destination,212-832-2066  877-798-3752,2023-01-18T15:15:20Z,200-9,40.693248,-73.981744,Brooklyn,US,,,NY,81 Fleet Pl,11201,,,,,,,,,,,,"['J1772', 'TESLA']",,,3.0,Tesla Destination,https://www.tesla.com/destination-charging,,Free,,False,,,,,,,,,,,,,,,,,,,,,Public,,1.85335,2.98268,{'station': ['501056']},
225,public,24 hours daily,,,2024-04-09,,ELEC,Public,260005,,2023-04-27,,,E,,Central Parking - Tower 31,888-998-2546,2024-04-09T01:19:30Z,GPS,40.74709,-73.98667,New York,US,,,NY,9 W 31st Street,10001,,,,,,,,,,,,['J1772'],,,2.0,Blink Network,http://www.blinkcharging.com/,,,,False,,,,,,,,,,,,,,,,,,,,,Public,,2.59464,4.17567,"{'station': ['0fe36564-c239-4331-97df-c20ef51890ad'], 'posts': ['93e8bbb8-e4b4-4f24-a73b-34b9487aea62', 'f5abec3c-5aa8-40d7-b2df-a315c4746658']}",
226,public,,,,2022-10-06,,ELEC,Public,114894,,2017-03-10,P,,E,PAY_GARAGE,iPark 247 N 7th Street - Tesla Destination,929-337-8633  877-798-3752,2023-01-18T15:15:20Z,200-9,40.715954,-73.954681,Brooklyn,US,,,NY,249 N 7th St,11248,,,,,,,,,,,,"['J1772', 'TESLA']",,,3.0,Tesla Destination,https://www.tesla.com/destination-charging,,Free,,False,,,,,,,,,,,,,,,,,,,,,Public,,2.68182,4.31597,{'station': ['505315']},
227,public,24 hours daily,,,2024-04-09,2024-02-26,ELEC,TEMPORARILY UNAVAILABLE (Public),219453,,2022-05-22,,,T,,Energy Plus Site 8,888-998-2546,2024-04-09T01:20:31Z,GPS,40.781104,-73.984478,New York,US,Parking garage||,,NY,11 Riverside Dr,10023,,,,,,,,,,,,['J1772'],,,1.0,Blink Network,http://www.blinkcharging.com/,,Free,,False,,,,,,,,,,,,,,,,,,,,,TEMPORAIREMENT SUSPENDU (Public),,4.88854,7.86734,"{'station': ['465ba1dd-d734-8158-93cc-330000674906'], 'posts': ['465ba1dd-d734-8158-93cc-330000695063']}",
228,public,24 hours daily,,,2024-04-09,,ELEC,Public,124144,,2019-06-21,,,E,,Astor Place,888-998-2546,2024-04-09T01:46:27Z,GPS,40.7297,-73.991565,New York,US,,,NY,445 Lafayette St,10003,,,,,,,,,,,,['J1772'],,,2.0,Blink Network,http://www.blinkcharging.com/,,Free,,False,,,,,,,,,,,,,,,,,,,,,Public,,1.40029,2.25355,"{'station': ['465ba1dd-d734-8158-93cc-330000452978'], 'posts': ['465ba1dd-d734-8158-93cc-330000690623', '465ba1dd-d734-8158-93cc-330000726629']}",
229,public,24 hours daily,,,2024-04-09,,ELEC,Public,331697,,2024-04-04,,,E,,2 Lincoln Square,888-998-2546,2024-04-09T01:50:28Z,GPS,40.77349758816229,-73.98137367362845,New York,US,,,NY,60 West 66th Street,10023,,,,,,,,,,,,['J1772'],,,4.0,Blink Network,http://www.blinkcharging.com/,,,,False,,,,,,,,,,,,,,,,,,,,,Public,,4.41915,7.11193,"{'station': ['f77e33c4-6566-4240-bcd6-246c36c37543'], 'posts': ['26c62070-ca39-4dfe-a176-cace978941f1', '44c6b572-5eee-4dc4-80ed-37d48e7d8049', '6c539638-81fb-41d2-9fc5-8e12f7d22717', 'bc5c8ba6-5e9d-423b-a98c-e6141999a877']}",
230,public,,,,2022-10-06,,ELEC,Public,115016,,2017-06-13,P,,E,PAY_GARAGE,Rapidpark 148 E 33rd Street - Tesla Destination,212-686-1436  877-798-3752,2023-01-18T15:15:20Z,200-9,40.745432,-73.97956,New York,US,,,NY,148 E 33rd St,10016,,,,,,,,,,,,"['J1772', 'TESLA']",,,3.0,Tesla Destination,https://www.tesla.com/destination-charging,,Free,,False,,,,,,,,,,,,,,,,,,,,,Public,,2.66004,4.28092,{'station': ['506798']},
231,public,,,,2022-10-06,,ELEC,Public,115163,,2017-06-13,P,,E,PAY_GARAGE,Rapidpark 575 1st Avenue - Tesla Destination,212-684-2762  877-798-3752,2023-01-18T15:15:20Z,200-8,40.742735,-73.974296,New York,US,,,NY,575 1st Ave,10016,,,,,,,,,,,,"['J1772', 'TESLA']",,,3.0,Tesla Destination,https://www.tesla.com/destination-charging,,Free,,False,,,,,,,,,,,,,,,,,,,,,Public,,2.66203,4.28412,{'station': ['506796']},
232,public,,,,2022-10-06,,ELEC,Public,115085,,2015-11-13,P,,E,HOTEL,Parkright 300 E 77th St - Tesla Destination,212-247-7303  877-798-3752,2023-01-18T15:15:20Z,200-9,40.771794,-73.955624,New York,US,,,NY,300 East 77th St,10075,,,,,,,,,,,,"['J1772', 'TESLA']",,,3.0,Tesla Destination,https://www.tesla.com/destination-charging,,Free,,False,,,,,,,,,,,,,,,,,,,,,Public,,4.87569,7.84666,{'station': ['500595']},
233,public,,,,2022-10-06,,ELEC,Public,115080,,2017-03-10,P,,E,PAY_GARAGE,iPark 3 E 67th Street - Tesla Destination,212-650-0996  877-798-3752,2023-01-18T15:15:20Z,200-8,40.769061,-73.96876,New York,US,,,NY,3 E 67th St,10065,,,,,,,,,,,,"['J1772', 'TESLA']",,,3.0,Tesla Destination,https://www.tesla.com/destination-charging,,Free,,False,,,,,,,,,,,,,,,,,,,,,Public,,4.37348,7.03843,{'station': ['505320']},
234,public,,,,2022-10-06,,ELEC,Public,115033,,2015-11-20,P,,E,PAY_GARAGE,Quik Park Hudson 180 LLC - Tesla Destination,212-352-0514  877-798-3752,2023-01-18T15:15:20Z,200-9,40.778412,-73.988294,New York,US,,,NY,180 Riverside Blvd,10069,,,,,,,,,,,,"['J1772', 'TESLA']",,,3.0,Tesla Destination,https://www.tesla.com/destination-charging,,Free,,False,,,,,,,,,,,,,,,,,,,,,Public,,4.6631,7.50453,{'station': ['499817']},
235,public,24 hours daily,,,2024-04-09,,ELEC,Public,259812,,2022-07-19,,,E,,The Caledonia,888-998-2546,2024-04-09T01:45:59Z,GPS,40.743832,-74.006578,New York,US,,,NY,450 W 17th Street,10011,,,,,,,,,,,,['J1772'],,,2.0,Blink Network,http://www.blinkcharging.com/,,,,False,,,,,,,,,,,,,,,,,,,,,Public,,2.16478,3.48388,"{'station': ['13ece8be-9ac1-445f-a5ba-23f15c07475d'], 'posts': ['465ba1dd-d734-8158-93cc-330000726637', '465ba1dd-d734-8158-93cc-330000726643']}",
236,public,,,,2022-10-06,,ELEC,Public,115010,,2017-02-10,P,,E,PAY_GARAGE,ABM Parking 13 East 54th Street LLC - Tesla Destination,212-308-3770  877-798-3752,2023-01-18T15:15:20Z,200-8,40.760648,-73.974193,New York,US,,,NY,13-17 E 54th St,10022,,,,,,,,,,,,['TESLA'],,,2.0,Tesla Destination,https://www.tesla.com/destination-charging,,Free,,False,,,,,,,,,,,,,,,,,,,,,Public,,3.7234,5.99223,{'station': ['503573']},
237,public,,,,2022-10-06,,ELEC,Public,115031,,2015-06-22,P,,E,HOTEL,Residence Inn New York Manhattan - Tesla Destination,212-324-3774  877-798-3752,2023-01-18T15:15:20Z,200-9,40.764261,-73.982974,New York,US,,,NY,1717 Broadway,10019,,,,,,,,,,,,"['J1772', 'TESLA']",,,2.0,Tesla Destination,https://www.tesla.com/destination-charging,,Free,,False,,,,,,,,,,,,,,,,,,,,,Public,,3.7814,6.08557,{'station': ['499693']},
238,public,,,,2022-10-06,,ELEC,Public,115002,,2015-05-21,P,,E,PAY_GARAGE,Quik Park 1133 Garage LLC - Tesla Destination,212-398-0464  877-798-3752,2023-01-18T15:15:20Z,200-9,40.755856,-73.984313,New York,US,,,NY,1133 6th Ave,10036,,,,,,,,,,,,"['J1772', 'TESLA']",,,3.0,Tesla Destination,https://www.tesla.com/destination-charging,,Free,,False,,,,,,,,,,,,,,,,,,,,,Public,,3.20684,5.16091,{'station': ['510890']},
239,public,24 hours daily,,,2024-04-09,,ELEC,Public,189363,,2021-05-07,,,E,,Laureate Garage,888-998-2546,2024-04-09T01:16:04Z,GPS,40.78131,-73.980834,New York,US,Located between Broadway & Amsterdam ||Ave. Attendant will assist in charging ||vehicle.  Parking rates apply. Inquire ||within.||,,NY,2148 Broadway,10023,,,,,,,,,,,,['J1772'],,,2.0,Blink Network,http://www.blinkcharging.com/,,Free,,False,,,,,,,,,,,,,,,,,,,,,Public,,4.94928,7.96509,"{'station': ['465ba1dd-d734-8158-93cc-330000570430'], 'posts': ['4103d84a-7d24-4b9e-88bd-e024aec2eb30', '465ba1dd-d734-8158-93cc-330000716885']}",
240,public,24 hours daily,,,2024-04-09,,ELEC,Public,221326,,2022-06-15,,,E,,First Avenue Parking,888-998-2546,2024-04-09T01:12:11Z,GPS,40.745096,-73.971921,New York,US,Chargers under repair. Monthly parking ||only.||,,NY,630 1st Avenue,10016,,,,,,,,,,,,['J1772'],,,2.0,Blink Network,http://www.blinkcharging.com/,,Free,,False,,,,,,,,,,,,,,,,,,,,,Public,,2.86757,4.61491,"{'station': ['465ba1dd-d734-8158-93cc-330000730018'], 'posts': ['465ba1dd-d734-8158-93cc-330000708659', '465ba1dd-d734-8158-93cc-330000708685']}",
241,public,24 hours daily,,A D Debit M V,2023-07-01,,ELEC,Public,238574,LD,2022-12-16,P,False,E,GROCERY,Starbucks - Tesla Supercharger,877-798-3752,2023-07-14T19:41:28Z,GPS,40.773883,-74.038139,North Bergen,US,,,NJ,2819 John F. Kennedy Boulevard,07047,,,,,,,,,,,,['TESLA'],8.0,,,Tesla,https://www.tesla.com/supercharger,,,,False,,,,,,,,,,,,,,,,,,,,,Public,,4.57237,7.35852,{'station': ['16930']},
242,public,24 hours daily,,,2024-04-09,2023-09-11,ELEC,TEMPORARILY UNAVAILABLE (Public),195065,,2018-10-10,,,T,,Peninsula New York,800-663-5633,2024-04-09T01:03:48Z,GPS,40.7616221,-73.9754656,New York,US,"To use the station, please pull up in front of the main door of hotel and ask doorman for assistance. There is a min. of $15 to use the station.",,NY,700 5th Avenue,10019,,,,,,,,,,,,['J1772'],,,1.0,Blink Network,http://www.blinkcharging.com/,,FREE,,False,,,,,,,,,,,,,,,,,,,,,TEMPORAIREMENT SUSPENDU (Public),,3.75572,6.04425,"{'station': ['d0e864cf-fb2a-3dbf-1307-c00000002617'], 'posts': ['ec7d626f-5a87-3f0b-1307-200000007691']}",
243,public,,,,2022-10-06,,ELEC,Public,115113,,2017-08-23,P,,E,PAY_GARAGE,iPark NYU 377 E 33rd Street - Tesla Destination,212-532-3721  877-798-3752,2023-01-18T15:15:20Z,200-9,40.743405,-73.974735,New York,US,,,NY,377 E 33rd St,10016,,,,,,,,,,,,"['J1772', 'TESLA']",,,3.0,Tesla Destination,https://www.tesla.com/destination-charging,,Free,,False,,,,,,,,,,,,,,,,,,,,,Public,,2.68484,4.32083,{'station': ['507713']},
244,public,24 hours daily,,,2024-04-09,,ELEC,Public,331436,,2022-09-01,,,E,,919 Third Avenue,888-998-2546,2024-04-09T01:11:09Z,GPS,40.759299,-73.968603,New York,US,,,NY,919 3rd Avenue,10022,,,,,,,,,,,,['J1772'],,,1.0,Blink Network,http://www.blinkcharging.com/,,,,False,,,,,,,,,,,,,,,,,,,,,Public,,3.78083,6.08466,"{'station': ['465ba1dd-d734-8158-93cc-330000454005'], 'posts': ['465ba1dd-d734-8158-93cc-330000743289']}",
245,public,24 hours daily,,,2024-04-09,,ELEC,Public,190532,,2021-06-01,,,E,,iPark - 67th Street,888-998-2546,2024-04-09T01:07:09Z,GPS,40.769134,-73.968707,New York,US,Located on 67th St between 5th Ave & ||Madison Ave. Attendant will assist in ||charging vehicle.  Parking rates apply. ||Inquire within.||,,NY,3 East 67th Street,10065,,,,,,,,,,,,['J1772'],,,1.0,Blink Network,http://www.blinkcharging.com/,,Free,,False,,,,,,,,,,,,,,,,,,,,,Public,,4.37926,7.04774,"{'station': ['465ba1dd-d734-8158-93cc-330000578135'], 'posts': ['465ba1dd-d734-8158-93cc-330000736776']}",
246,public,24 hours daily,,,2024-04-09,,ELEC,Public,309419,,2019-04-17,,,E,,430809 : Avalon Riverview North,888-998-2546,2024-04-09T01:09:14Z,GPS,40.7449626,-73.9568845,Long Island City,US,,,NY,4-75 48th Avenue,11109,,,,,,,,,,,,['J1772'],,,5.0,Blink Network,http://www.blinkcharging.com/,,,,False,,,,,,,,,,,,,,,,,,,,,Public,,3.40167,5.47446,"{'station': ['d0e864cf-fb2a-3dbf-1307-c00000003124'], 'posts': ['ec7d626f-5a87-3f0b-1307-200000009307', 'ec7d626f-5a87-3f0b-1307-200000009308', 'ec7d626f-5a87-3f0b-1307-200000009309', 'ec7d626f-5a87-3f0b-1307-200000009310', 'ec7d626f-5a87-3f0b-1307-200000009311']}",
247,public,24 hours daily,,,2024-04-09,,ELEC,Public,225878,,2022-08-04,,,E,,Tunnel Garage,888-998-2546,2024-04-09T01:02:29Z,GPS,40.74508,-73.97604,New York,US,Located between 1st Ave & 2nd Ave. ||Attendant will assist in charging ||vehicle.  Parking rates apply. Inquire ||within.||,,NY,300 E 34th Street,10001,,,,,,,,,,,,['J1772'],,,1.0,Blink Network,http://www.blinkcharging.com/,,Free,,False,,,,,,,,,,,,,,,,,,,,,Public,,2.73917,4.40827,"{'station': ['465ba1dd-d734-8158-93cc-330000571935'], 'posts': ['465ba1dd-d734-8158-93cc-330000756604']}",
248,public,24 hours daily,,,2024-04-09,,ELEC,Public,223392,,2022-07-10,,,E,,Lincoln Square Garage,888-998-2546,2024-04-09T00:53:47Z,GPS,40.776152,-73.98282,New York,US,Entrance on 179 W 68th St or 184 W 69th ||St between Broadway & Amsterdam Ave.||,,NY,178 W 69th Street,10023,,,,,,,,,,,,['J1772'],,,1.0,Blink Network,http://www.blinkcharging.com/,,Free,,False,,,,,,,,,,,,,,,,,,,,,Public,,4.5758,7.36404,"{'station': ['465ba1dd-d734-8158-93cc-330000735062'], 'posts': ['465ba1dd-d734-8158-93cc-330000690627']}",
249,public,,,,2022-10-06,,ELEC,Public,122488,,2019-01-17,P,,E,,MTP Parking 41-42 24th Street - Tesla Destination,347-410-4910  877-798-3752,2023-01-18T15:15:20Z,200-9,40.7515557,-73.9414058,Long Island City,US,,,NY,41-42 24th St,11101,,,,,,,,,,,,['TESLA'],,,4.0,Tesla Destination,https://www.tesla.com/destination-charging,,Free,,False,,,,,,,,,,,,,,,,,,,,,Public,,4.31378,6.94236,{'station': ['513853']},
250,public,24 hours daily,,,2024-04-09,,ELEC,Public,309670,,2023-08-22,,,E,,NYC Parking 155 East 76th Street Garage Corp.,888-998-2546,2024-04-09T01:21:13Z,GPS,40.77292688873804,-73.95955810985014,New York,US,,,NY,155 East 76th Street,10021,,,,,,,,,,,,['J1772'],,,6.0,Blink Network,http://www.blinkcharging.com/,,,,False,,,,,,,,,,,,,,,,,,,,,Public,,4.83682,7.78411,"{'station': ['65538ad2-ed88-4eac-bca4-26400a2040e3'], 'posts': ['007edd52-a75e-47fb-9252-eb6a7652a3e7', '2bf5853b-06a7-4650-98c2-9ebd7112da6b', '3dec88af-5335-4d5c-aa75-a58c24e235bb', '4f70555c-4f45-414e-80ea-15b7cd7e4d83', 'b28ddfc3-2ba4-4a1f-baae-462b8f2fd88a', 'f1e10fd0-1b7f-454f-8abf-4f92a4968b1b']}",
251,public,24 hours daily,,,2024-04-09,,ELEC,Public,190107,,2021-05-26,,,E,,GMC Parking Garage - 200 Central,888-998-2546,2024-04-09T00:57:40Z,GPS,40.766719,-73.979533,New York,US,,,NY,200 Central Park South,10019,,,,,,,,,,,,['J1772'],,,1.0,Blink Network,http://www.blinkcharging.com/,,Free,,False,,,,,,,,,,,,,,,,,,,,,Public,,4.00208,6.44072,"{'station': ['465ba1dd-d734-8158-93cc-330000571586'], 'posts': ['465ba1dd-d734-8158-93cc-330000529580']}",
252,public,24 hours daily,,,2024-04-09,,ELEC,Public,124141,,2019-06-19,,,E,,Coliseum Park Apts - Central Parking,888-998-2546,2024-04-09T01:46:26Z,GPS,40.768432,-73.984033,New York,US,Entrance on 910 9th Ave.||,,NY,345 W 58th Street,10019,,,,,,,,,,,,['J1772'],,,1.0,Blink Network,http://www.blinkcharging.com/,,Free,,False,,,,,,,,,,,,,,,,,,,,,Public,,4.04178,6.50461,"{'station': ['465ba1dd-d734-8158-93cc-330000452970'], 'posts': ['a6ea9f83-1d0b-47c3-83e6-fbc22e522feb']}",
253,public,,,,2022-10-06,,ELEC,Public,115160,,2015-08-21,P,,E,PAY_GARAGE,GGMC Parking - 550 W 25th - Tesla Destination,212-929-0443  877-798-3752,2023-01-18T15:15:20Z,200-9,40.74979,-74.005335,New York,US,,,NY,550 W 25th St,10001,,,,,,,,,,,,"['J1772', 'TESLA']",,,2.0,Tesla Destination,https://www.tesla.com/destination-charging,,Free,,False,,,,,,,,,,,,,,,,,,,,,Public,,2.57945,4.15122,{'station': ['513114']},
254,public,24 hours daily,,,2024-04-09,2023-09-11,ELEC,TEMPORARILY UNAVAILABLE (Public),124146,,2019-06-21,,,T,,Central Parking - 58 West 58th St,888-998-2546,2024-04-09T01:46:27Z,GPS,40.764655,-73.9761,New York,US,,,NY,58 West 58th Street,10019,,,,,,,,,,,,['J1772'],,,2.0,Blink Network,http://www.blinkcharging.com/,,Free,,False,,,,,,,,,,,,,,,,,,,,,TEMPORAIREMENT SUSPENDU (Public),,3.93476,6.33238,"{'station': ['465ba1dd-d734-8158-93cc-330000452976'], 'posts': ['465ba1dd-d734-8158-93cc-330000734883', '465ba1dd-d734-8158-93cc-330000741837']}",
255,public,24 hours daily,,,2024-04-09,,ELEC,Public,124147,,2019-06-21,,,E,,Superior Ink,888-998-2546,2024-04-09T01:46:27Z,GPS,40.737537,-74.00983,New York,US,,,NY,400 W 12th St,10014,,,,,,,,,,,,['J1772'],,,2.0,Blink Network,http://www.blinkcharging.com/,,Free,,False,,,,,,,,,,,,,,,,,,,,,Public,,1.73789,2.79686,"{'station': ['465ba1dd-d734-8158-93cc-330000452977'], 'posts': ['465ba1dd-d734-8158-93cc-330000744072', 'd581d0c0-c418-43d1-b929-a8f22bcd8b48']}",
256,public,,,,2022-10-06,,ELEC,Public,115008,,2017-06-16,P,,E,HOTEL,Rapidpark 124 W 20th Street - Tesla Destination,212-627-7739  877-798-3752,2023-01-18T15:15:20Z,200-9,40.741554,-73.995403,New York,US,,,NY,124 W 20th St,10011,,,,,,,,,,,,"['J1772', 'TESLA']",,,3.0,Tesla Destination,https://www.tesla.com/destination-charging,,Free,,False,,,,,,,,,,,,,,,,,,,,,Public,,2.08071,3.34858,{'station': ['506837']},
257,public,,,,2022-10-06,,ELEC,Public,115187,,2016-06-30,P,,E,PAY_GARAGE,Icon 80 Riverside Blvd - Tesla Destination,212-245-1840  877-798-3752,2023-01-18T15:15:20Z,200-9,40.775374,-73.989687,New York,US,,,NY,80 Riverside Blvd,10069,,,,,,,,,,,,"['J1772', 'TESLA']",,,3.0,Tesla Destination,https://www.tesla.com/destination-charging,,Free,,False,,,,,,,,,,,,,,,,,,,,,Public,,4.44163,7.14811,{'station': ['500841']},
258,public,24 hours daily,,,2024-04-09,,ELEC,Public,164738,,2020-08-01,,,E,,I Park - 145 W 56th St,888-998-2546,2024-04-09T01:46:26Z,GPS,40.764609,-73.979517,New York,US,Underground Parking||,,NY,145 West 56th Street,10019,,,,,,,,,,,,['J1772'],,,2.0,Blink Network,http://www.blinkcharging.com/,,Free,,False,,,,,,,,,,,,,,,,,,,,,Public,,3.86486,6.21989,"{'station': ['465ba1dd-d734-8158-93cc-330000452971'], 'posts': ['07d5f248-c0f6-434f-9075-70166798ce04', '5a033e50-2fcf-4ad7-937b-a723c53aba6b']}",
259,public,24 hours daily,,,2024-04-09,,ELEC,Public,310350,,2023-01-17,,,E,,Heritage Trinity Commons SPE LLC,888-998-2546,2024-04-09T01:51:30Z,GPS,40.7127753,-74.0059728,New York,US,,,NY,PO Box 30907,10087,,,,,,,,,,,,['J1772'],,,1.0,Blink Network,http://www.blinkcharging.com/,,,,False,,,,,,,,,,,,,,,,,,,,,Public,,0.00396,0.00637,"{'station': ['a5b9d77a-f581-4f91-8ab0-8b630857389f'], 'posts': ['bad4012e-6d28-4646-835a-f6afddac6cc9']}",
260,public,,,,2022-10-06,,ELEC,Public,115079,,2015-11-13,P,,E,HOTEL,Parkright 39 E 29th Street - Tesla Destination,212-247-7303  877-798-3752,2023-01-18T15:15:20Z,200-8,40.744244,-73.984116,New York,US,,,NY,29 East 29th St,10016,,,,,,,,,,,,"['J1772', 'TESLA']",,,3.0,Tesla Destination,https://www.tesla.com/destination-charging,,Free,,False,,,,,,,,,,,,,,,,,,,,,Public,,2.47175,3.9779,{'station': ['500596']},
261,public,24 hours daily,,,2024-04-09,,ELEC,Public,328533,,2022-07-27,,,E,,165 E 77 ST Garage,888-998-2546,2024-04-09T00:58:12Z,GPS,40.773528,-73.959538,Manhattan,US,,,NY,165 E 77th Street,10075,,,,,,,,,,,,['J1772'],,,1.0,Blink Network,http://www.blinkcharging.com/,,,,False,,,,,,,,,,,,,,,,,,,,,Public,,4.87361,7.84332,"{'station': ['4b2bfbcf-cdab-4822-8f6d-70afdecc50db'], 'posts': ['e8ffbfde-b4ae-4db7-a49b-c43beb1d9acf']}",
262,public,24 hours daily,,,2024-04-09,,ELEC,Public,193980,,2021-08-17,,,E,,iPark - Enterprise Parking,888-998-2546,2024-04-09T00:57:47Z,GPS,40.748359,-73.972213,New York,US,Attendant will assist in charging ||vehicle.  Parking rates apply. Inquire ||within.||,,NY,315 E 40th Street,10016,,,,,,,,,,,,['J1772'],,,1.0,Blink Network,http://www.blinkcharging.com/,,Free,,False,,,,,,,,,,,,,,,,,,,,,Public,,3.04034,4.89295,"{'station': ['465ba1dd-d734-8158-93cc-330000609398'], 'posts': ['465ba1dd-d734-8158-93cc-330000738792']}",
263,public,,,,2022-10-06,,ELEC,Public,114994,,2016-01-21,P,,E,PAY_GARAGE,Icon Parking 101 West End Ave - Tesla Destination,212-874-8021  877-798-3752,2023-01-18T15:15:20Z,200-9,40.775065,-73.988572,New York,US,,,NY,101 West End Ave,10023,,,,,,,,,,,,"['J1772', 'TESLA']",,,3.0,Tesla Destination,https://www.tesla.com/destination-charging,,Free,,False,,,,,,,,,,,,,,,,,,,,,Public,,4.43204,7.13268,{'station': ['500833']},
